act_symbol,date,open,high,low,close,volume
BA,2023-06-01,206.46,210.23,206.0,207.96,5125109
BA,2023-06-02,210.0,215.24,210.0,213.32,7486308
BA,2023-06-05,213.28,213.28,207.5,208.78,5781322
BA,2023-06-06,208.37,211.68,200.61,207.29,10957198
BA,2023-06-07,207.99,212.38,207.2,211.93,6462432
BA,2023-06-08,212.34,220.0,212.05,218.11,9364667
BA,2023-06-09,217.99,219.1574,215.69,217.31,5300206
BA,2023-06-12,217.16,223.91,216.63,221.56,8072612
BA,2023-06-13,222.35,223.12,219.35,220.38,5880966
BA,2023-06-14,221.4,221.585,216.0313,216.9,5629070
BA,2023-06-15,217.17,220.61,215.31,219.41,5001432
BA,2023-06-16,220.72,223.87,218.975,219.99,7803924
BA,2023-06-20,218.89,219.29,211.88,212.37,8226380
BA,2023-06-21,211.83,212.99,209.3875,212.08,5356372
BA,2023-06-22,205.61,208.4999,203.65,205.61,7066256
BA,2023-06-23,204.02,205.61,202.55,205.41,6338199
BA,2023-06-26,206.11,207.09,204.66,205.58,3437685
BA,2023-06-27,206.15,209.66,206.08,209.43,4465457
BA,2023-06-28,211.21,212.19,209.45,210.72,4276103
BA,2023-06-29,211.12,213.22,210.23,211.83,3443612
BA,2023-06-30,213.14,213.24,209.38,211.16,5488713
BA,2023-07-03,210.5,212.1686,210.24,210.92,2143048
BA,2023-07-05,210.0,214.28,207.89,213.31,4928368
BA,2023-07-06,212.48,213.61,209.58,212.62,4683145
BA,2023-07-07,212.94,215.66,211.83,212.1,4893550
BA,2023-07-10,211.84,213.59,211.22,213.31,3497125
BA,2023-07-11,212.915,218.98,211.35,218.76,7458378
BA,2023-07-12,219.51,221.56,216.92,217.11,5123178
BA,2023-07-13,218.13,218.9,216.3,216.85,4291709
BA,2023-07-14,217.0,217.016,212.81,213.12,4294849
BA,2023-07-17,212.5,214.23,211.735,211.87,3621509
BA,2023-07-18,211.0,213.04,209.5699,211.57,5895773
BA,2023-07-19,211.12,211.87,208.235,208.6,4814145
BA,2023-07-20,208.83,215.1,208.8,213.61,5782187
BA,2023-07-21,213.89,215.6,211.64,211.8,4056796
BA,2023-07-24,212.06,215.94,211.46,215.87,4898343
BA,2023-07-25,214.2,214.82,210.81,214.12,6513323
BA,2023-07-26,222.16,233.09,221.77,232.8,24923796
BA,2023-07-27,235.245,238.67,231.83,233.75,12018316
BA,2023-07-28,236.12,240.13,235.7,238.69,7059533
BA,2023-07-31,238.99,239.07,236.21,238.85,4897581
BA,2023-08-01,237.55,243.1,237.31,238.01,4983841
BA,2023-08-02,234.985,236.68,230.69,231.38,5332961
BA,2023-08-03,231.0,233.577,230.4,231.36,3285836
BA,2023-08-04,232.29,234.91,230.08,231.36,3500705
BA,2023-08-07,232.74,238.98,232.74,238.25,6068011
BA,2023-08-08,236.52,240.73,236.0,238.04,5149186
BA,2023-08-09,238.54,241.24,236.4061,237.86,4044412
BA,2023-08-10,238.45,241.58,237.04,238.26,3710810
BA,2023-08-11,237.61,238.26,235.12,235.72,2652074
BA,2023-08-14,237.0,238.65,235.75,236.71,2486316
BA,2023-08-15,235.0,235.56,231.5401,232.26,3201850
BA,2023-08-16,231.5,234.67,229.6002,229.95,2273333
BA,2023-08-17,230.57,231.64,224.26,224.54,4359411
BA,2023-08-18,222.23,226.79,221.68,226.65,3583165
BA,2023-08-21,226.8,227.6899,225.1006,227.22,2734616
BA,2023-08-22,228.08,230.48,226.93,230.07,3002331
BA,2023-08-23,230.0,230.54,227.105,228.58,3004522
BA,2023-08-24,222.51,224.2,217.09,217.31,9132572
BA,2023-08-25,218.41,223.77,212.8801,223.41,12352323
BA,2023-08-28,224.21,227.45,223.2901,227.06,4641752
BA,2023-08-29,225.88,229.4,225.6638,227.25,3716672
BA,2023-08-30,227.08,231.17,226.65,228.85,3328306
BA,2023-08-31,229.33,230.4339,222.93,224.03,6953815
BA,2023-09-01,226.0,226.23,221.95,223.4,3658370
BA,2023-09-05,223.1,224.0916,221.2,222.57,3246492
BA,2023-09-06,221.77,222.7878,216.4249,217.95,4233537
BA,2023-09-07,217.5,220.55,214.86,216.05,4929553
BA,2023-09-08,215.825,216.0,210.51,211.27,5759415
BA,2023-09-11,213.76,214.2,208.77,211.01,4522283
BA,2023-09-12,209.35,212.26,208.58,210.65,3256455
